benchmark_id,rq,stage,model,graph,n_system,n_terms,alpha,selector_ancillas,n_ancilla,max_locality,gate_count,qasm_path,check_mode,check_epsilon,inferred_alpha,residual_norm,residual_threshold,residual_numerical_tolerance,residual_acceptance_threshold,runtime_sec,tracemalloc_peak_mb,process_maxrss_mb,status,success,error,bug_detection_result
ising_n3__clean,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__clean.qasm,paper,0.1,6.00000000000,3.98543319800e-60,0.0353553390593,0,0.0353553390593,0.107723750,1.799106,49.421875,PASS,True,,success
ising_n3__clean,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__clean.qasm,paper,0.001,6.00000000000,3.98543319800e-60,0.000353553390593,0,0.000353553390593,0.039880250,0.097178,49.484375,PASS,True,,success
ising_n3__clean,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__clean.qasm,paper,1e-05,6.00000000000,3.98543319800e-60,0.00000353553390593,0,0.00000353553390593,0.040232208,0.097114,49.546875,PASS,True,,success
ising_n3__clean,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__clean.qasm,paper,1e-08,6.00000000000,3.98543319800e-60,3.53553390593e-9,0,3.53553390593e-9,0.039659000,0.097114,49.546875,PASS,True,,success
ising_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__prepare_angle_delta_1e-07.qasm,paper,0.1,6.00000000000,2.44948978608e-7,0.0353553390593,0,0.0353553390593,0.042826209,0.097750,49.578125,PASS,True,,success
ising_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__prepare_angle_delta_1e-07.qasm,paper,0.001,6.00000000000,2.44948978608e-7,0.000353553390593,0,0.000353553390593,0.040238792,0.100515,49.609375,PASS,True,,success
ising_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__prepare_angle_delta_1e-07.qasm,paper,1e-05,6.00000000000,2.44948978608e-7,0.00000353553390593,0,0.00000353553390593,0.038925000,0.097178,49.609375,PASS,True,,success
ising_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__prepare_angle_delta_1e-07.qasm,paper,1e-08,6.00000000000,2.44948978608e-7,3.53553390593e-9,0,3.53553390593e-9,0.038778208,0.097178,49.625000,FAIL,False,,success
ising_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__prepare_angle_delta_1e-05.qasm,paper,0.1,5.99999999940,0.0000244949407275,0.0353553390593,0,0.0353553390593,0.041170958,0.097750,49.734375,PASS,True,,success
ising_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__prepare_angle_delta_1e-05.qasm,paper,0.001,5.99999999940,0.0000244949407275,0.000353553390593,0,0.000353553390593,0.038965959,0.097178,49.750000,PASS,True,,success
