benchmark_id,rq,stage,axis,check_mode,tau,epsilon,degree,cos_degree,sin_degree,uh_ancillas,n_ancilla,n_system,target_scale,gate_count,qasm_path,runtime_sec,symbolic_runtime_sec,approx_runtime_sec,tracemalloc_peak_mb,process_maxrss_mb,status,success,approx_max_grid_error,approx_worst_x,approx_grid_points,approx_beta,error,bug_detection_result
hamsim_t05_eps1em01__clean,RQ2,hamsim,bug_detection,approximation,0.5,0.10000000000000001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em01/hamsim_t05_eps1em01__clean.qasm,0.877440917,0.874816750,0.002607500,1.454700,130.265625,PASS,True,0.000314079835964,-0.0560704472372,28,3.99999999999,,success
hamsim_t05_eps1em01__qsp_phase_delta_1.0e-03,RQ2,hamsim,bug_detection,approximation,0.5,0.10000000000000001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em01/hamsim_t05_eps1em01__qsp_phase_delta_1.0e-03.qasm,0.870537542,0.866401833,0.004119375,1.217103,130.984375,PASS,True,0.00156737946818,0.998426815018,28,3.99992615506,,success
hamsim_t05_eps1em01__qsp_phase_delta_5.0e-02,RQ2,hamsim,bug_detection,approximation,0.5,0.10000000000000001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em01/hamsim_t05_eps1em01__qsp_phase_delta_5.0e-02.qasm,0.869339792,0.865461458,0.003856875,1.045148,131.671875,FAIL,False,0.0684019008183,0.998426815018,28,3.98899928442,,success
hamsim_t05_eps1em01__qsp_phase_delta_2.0e-01,RQ2,hamsim,bug_detection,approximation,0.5,0.10000000000000001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em01/hamsim_t05_eps1em01__qsp_phase_delta_2.0e-01.qasm,0.864462125,0.861459709,0.002985792,1.031802,132.281250,FAIL,False,0.288673000306,0.998426815018,28,3.87049964901,,success
hamsim_t05_eps1em01__oracle_order_moved,RQ2,hamsim,bug_detection,approximation,0.5,0.10000000000000001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em01/hamsim_t05_eps1em01__oracle_order_moved.qasm,0.530741416,0.529075417,0.001650292,0.521585,132.437500,FAIL,False,0.0678724758315,0.0560704472372,28,4.24838553103,,success
hamsim_t05_eps1em01__normalization_drop_final_h,RQ2,hamsim,bug_detection,approximation,0.5,0.10000000000000001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em01/hamsim_t05_eps1em01__normalization_drop_final_h.qasm,0.609240750,0.607987959,0.001237083,0.799251,132.812500,FAIL,False,0.478735192681,0.998426815018,28,2.82842712474,,success
hamsim_t05_eps1em03__clean,RQ2,hamsim,bug_detection,approximation,0.5,0.001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em03/hamsim_t05_eps1em03__clean.qasm,0.670108625,0.667920959,0.002171958,0.622777,133.187500,PASS,True,0.000319393477139,-0.0327190828218,48,3.99999999999,,success
hamsim_t05_eps1em03__qsp_phase_delta_1.0e-05,RQ2,hamsim,bug_detection,approximation,0.5,0.001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em03/hamsim_t05_eps1em03__qsp_phase_delta_1.0e-05.qasm,0.851928125,0.847754583,0.004157542,0.937646,133.843750,PASS,True,0.000328188598551,-0.999464587476,48,3.99999929121,,success
hamsim_t05_eps1em03__qsp_phase_delta_5.0e-04,RQ2,hamsim,bug_detection,approximation,0.5,0.001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em03/hamsim_t05_eps1em03__qsp_phase_delta_5.0e-04.qasm,0.853033500,0.849997875,0.003020334,0.966199,134.125000,FAIL,False,0.000923575067938,-0.999464587476,48,3.99996382672,,success
hamsim_t05_eps1em03__qsp_phase_delta_2.0e-03,RQ2,hamsim,bug_detection,approximation,0.5,0.001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em03/hamsim_t05_eps1em03__qsp_phase_delta_2.0e-03.qasm,0.850626833,0.846432625,0.004178125,1.091528,134.296875,FAIL,False,0.00291063472549,-0.999464587476,48,3.99984631706,,success
hamsim_t05_eps1em03__oracle_order_moved,RQ2,hamsim,bug_detection,approximation,0.5,0.001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em03/hamsim_t05_eps1em03__oracle_order_moved.qasm,0.526619417,0.525102541,0.001501583,0.576831,134.343750,FAIL,False,0.0681303084923,0.0327190828218,48,4.24838553103,,success
hamsim_t05_eps1em03__normalization_drop_final_h,RQ2,hamsim,bug_detection,approximation,0.5,0.001,3,2,3,1,4,1,0.25,113,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em03/hamsim_t05_eps1em03__normalization_drop_final_h.qasm,0.599783083,0.598563958,0.001202958,0.646812,134.500000,FAIL,False,0.479190692639,0.999464587476,48,2.82842712474,,success
hamsim_t05_eps1em05__clean,RQ2,hamsim,bug_detection,approximation,0.5,1.0000000000000001e-05,5,4,5,1,4,1,0.25,173,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em05/hamsim_t05_eps1em05__clean.qasm,3.808068166,3.802016792,0.006033542,3.184059,135.968750,PASS,True,6.71831151091e-07,-0.49289819223,64,3.99999999998,,success
hamsim_t05_eps1em05__qsp_phase_delta_1.0e-07,RQ2,hamsim,bug_detection,approximation,0.5,1.0000000000000001e-05,5,4,5,1,4,1,0.25,173,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em05/hamsim_t05_eps1em05__qsp_phase_delta_1.0e-07.qasm,3.855345083,3.849211500,0.006116250,3.277353,136.921875,PASS,True,7.52008797349e-07,0.0245412285229,64,3.99999999976,,success
hamsim_t05_eps1em05__qsp_phase_delta_5.0e-06,RQ2,hamsim,bug_detection,approximation,0.5,1.0000000000000001e-05,5,4,5,1,4,1,0.25,173,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em05/hamsim_t05_eps1em05__qsp_phase_delta_5.0e-06.qasm,3.873173625,3.867615750,0.005539250,3.315499,137.265625,FAIL,False,6.12442788137e-06,-0.999698818696,64,3.99999998861,,success
hamsim_t05_eps1em05__qsp_phase_delta_2.0e-05,RQ2,hamsim,bug_detection,approximation,0.5,1.0000000000000001e-05,5,4,5,1,4,1,0.25,173,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em05/hamsim_t05_eps1em05__qsp_phase_delta_2.0e-05.qasm,3.856890834,3.850652542,0.006220042,3.309301,138.015625,FAIL,False,2.58374780315e-05,0.999698818696,64,3.9999999536,,success
hamsim_t05_eps1em05__oracle_order_moved,RQ2,hamsim,bug_detection,approximation,0.5,1.0000000000000001e-05,5,4,5,1,4,1,0.25,173,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em05/hamsim_t05_eps1em05__oracle_order_moved.qasm,2.767149125,2.763353750,0.003778333,1.622513,138.156250,FAIL,False,1.00135245616,0.0245412285229,64,0.00576534405053,,success
hamsim_t05_eps1em05__normalization_drop_final_h,RQ2,hamsim,bug_detection,approximation,0.5,1.0000000000000001e-05,5,4,5,1,4,1,0.25,173,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em05/hamsim_t05_eps1em05__normalization_drop_final_h.qasm,3.245483750,3.241400666,0.004066167,2.438987,138.484375,FAIL,False,0.479293377439,-0.999698818696,64,2.82842712474,,success
hamsim_t05_eps1em07__clean,RQ2,hamsim,bug_detection,approximation,0.5,9.9999999999999995e-08,7,6,7,1,4,1,0.25,233,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em07/hamsim_t05_eps1em07__clean.qasm,22.963422083,22.955006417,0.008393417,5.215505,142.296875,PASS,True,7.53916544823e-10,0.382683432365,84,4.00000000002,,success
hamsim_t05_eps1em07__qsp_phase_delta_1.0e-09,RQ2,hamsim,bug_detection,approximation,0.5,9.9999999999999995e-08,7,6,7,1,4,1,0.25,233,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em07/hamsim_t05_eps1em07__qsp_phase_delta_1.0e-09.qasm,23.255234875,23.247587875,0.007627333,5.143416,144.484375,PASS,True,1.89535250688e-09,0.999825160913,84,4.00000000002,,success
hamsim_t05_eps1em07__qsp_phase_delta_5.0e-08,RQ2,hamsim,bug_detection,approximation,0.5,9.9999999999999995e-08,7,6,7,1,4,1,0.25,233,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em07/hamsim_t05_eps1em07__qsp_phase_delta_5.0e-08.qasm,23.061238333,23.052987333,0.008224834,5.209002,145.000000,FAIL,False,6.6155286203e-08,0.999825160913,84,4.00000000002,,success
hamsim_t05_eps1em07__qsp_phase_delta_2.0e-07,RQ2,hamsim,bug_detection,approximation,0.5,9.9999999999999995e-08,7,6,7,1,4,1,0.25,233,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em07/hamsim_t05_eps1em07__qsp_phase_delta_2.0e-07.qasm,25.250753833,25.238667875,0.011993084,5.716673,145.000000,FAIL,False,2.63092291731e-07,0.999825160913,84,4.00000000003,,success
hamsim_t05_eps1em07__oracle_order_moved,RQ2,hamsim,bug_detection,approximation,0.5,9.9999999999999995e-08,7,6,7,1,4,1,0.25,233,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em07/hamsim_t05_eps1em07__oracle_order_moved.qasm,13.917458584,13.911046458,0.006390125,4.287522,145.000000,FAIL,False,1.00000023721,0.999825160913,84,-9.49506246237e-07,,success
hamsim_t05_eps1em07__normalization_drop_final_h,RQ2,hamsim,bug_detection,approximation,0.5,9.9999999999999995e-08,7,6,7,1,4,1,0.25,233,evaluation/bug_detection/generated/hamsim/hamsim_t05_eps1em07/hamsim_t05_eps1em07__normalization_drop_final_h.qasm,23.536231750,23.530329792,0.005880917,5.126246,145.000000,FAIL,False,0.479348818905,-0.999825160913,84,2.82842712476,,success
