benchmark_id,rq,stage,model,graph,n_system,n_terms,alpha,selector_ancillas,n_ancilla,max_locality,gate_count,qasm_path,check_mode,check_epsilon,inferred_alpha,residual_norm,residual_threshold,residual_numerical_tolerance,residual_acceptance_threshold,runtime_sec,tracemalloc_peak_mb,process_maxrss_mb,status,success,error
ising_periodic_n2,RQ1,block_encoding,ising,periodic,2,4,4,2,3,2,44,benchmarks/block_encoding/generated/ising/ising_periodic_n2.qasm,paper,1e-08,4.00000000000,4.84349416322e-60,5.00000000000e-9,0,5.00000000000e-9,0.082400834,1.798233,49.093750,PASS,True,
ising_periodic_n3,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,benchmarks/block_encoding/generated/ising/ising_periodic_n3.qasm,paper,1e-08,6.00000000000,4.11760749431e-60,3.53553390593e-9,0,3.53553390593e-9,0.149379417,1.848620,49.500000,PASS,True,
ising_periodic_n4,RQ1,block_encoding,ising,periodic,4,8,8,3,4,2,138,benchmarks/block_encoding/generated/ising/ising_periodic_n4.qasm,paper,1e-08,8.00000000000,6.29167310654e-60,2.50000000000e-9,0,2.50000000000e-9,0.136263208,1.841526,50.125000,PASS,True,
ising_periodic_n5,RQ1,block_encoding,ising,periodic,5,10,10,4,5,2,235,benchmarks/block_encoding/generated/ising/ising_periodic_n5.qasm,paper,1e-08,10.0000000000,1.81430513630e-60,1.76776695297e-9,0,1.76776695297e-9,0.216295625,1.916691,50.921875,PASS,True,
ising_periodic_n6,RQ1,block_encoding,ising,periodic,6,12,12,4,5,2,280,benchmarks/block_encoding/generated/ising/ising_periodic_n6.qasm,paper,1e-08,12.0000000000,5.58340083771e-60,1.25000000000e-9,0,1.25000000000e-9,0.272584250,1.950906,50.234375,PASS,True,
ising_periodic_n7,RQ1,block_encoding,ising,periodic,7,14,14,4,5,2,317,benchmarks/block_encoding/generated/ising/ising_periodic_n7.qasm,paper,1e-08,14.0000000000,1.39736661423e-59,8.83883476483e-10,0,8.83883476483e-10,0.318722500,1.999340,49.718750,PASS,True,
ising_periodic_n8,RQ1,block_encoding,ising,periodic,8,16,16,4,5,2,350,benchmarks/block_encoding/generated/ising/ising_periodic_n8.qasm,paper,1e-08,16.0000000000,8.81956003238e-60,6.25000000000e-10,0,6.25000000000e-10,0.402657250,2.028717,50.343750,PASS,True,
ising_periodic_n9,RQ1,block_encoding,ising,periodic,9,18,18,5,6,2,503,benchmarks/block_encoding/generated/ising/ising_periodic_n9.qasm,paper,1e-08,18.0000000000,2.46845727956e-60,4.41941738242e-10,0,4.41941738242e-10,0.606281125,2.197197,51.015625,PASS,True,
ising_periodic_n10,RQ1,block_encoding,ising,periodic,10,20,20,5,6,2,560,benchmarks/block_encoding/generated/ising/ising_periodic_n10.qasm,paper,1e-08,20.0000000000,3.83217883874e-60,3.12500000000e-10,0,3.12500000000e-10,0.723847708,2.242324,51.218750,PASS,True,
ising_periodic_n16,RQ1,block_encoding,ising,periodic,16,32,32,5,6,2,822,benchmarks/block_encoding/generated/ising/ising_periodic_n16.qasm,paper,1e-08,32.0000000000,1.23152925986e-59,3.90625000000e-11,0,3.90625000000e-11,1.514648458,2.559054,51.046875,PASS,True,
